"","gene_id","gene_symbol"
"196","ENSMUSG00000001119.7","Col6a1"
"197","ENSMUSG00000001120.15","Pcbp3"
"198","ENSMUSG00000001123.15","Lgals9"
"199","ENSMUSG00000001127.12","Araf"
"200","ENSMUSG00000001128.7","Cfp"
"201","ENSMUSG00000001131.11","Timp1"
"202","ENSMUSG00000001134.9","Uxt"
"203","ENSMUSG00000001138.13","Cnnm3"
"204","ENSMUSG00000001143.13","Lman2l"
"205","ENSMUSG00000001150.7","Mcm3ap"
"206","ENSMUSG00000001151.10","Pcnt"
"207","ENSMUSG00000001155.13","Ftcd"
"208","ENSMUSG00000001156.9","Mxd1"
"209","ENSMUSG00000001157.13","Gmcl1"
"210","ENSMUSG00000001158.13","Snrnp27"
"211","ENSMUSG00000001166.17","Oas1c"
"212","ENSMUSG00000001168.16","Oas1h"
"213","ENSMUSG00000001173.15","Ocrl"
"214","ENSMUSG00000001175.16","Calm1"
"215","ENSMUSG00000001211.15","Agpat3"
"216","ENSMUSG00000001225.12","Slc26a3"
"217","ENSMUSG00000001227.12","Sema6b"
"218","ENSMUSG00000001228.14","Uhrf1"
"219","ENSMUSG00000001229.9","Dpp9"
"220","ENSMUSG00000001240.13","Ramp2"
"221","ENSMUSG00000001247.16","Lsr"
"222","ENSMUSG00000001248.15","Gramd1a"
"223","ENSMUSG00000001249.14","Hpn"
"224","ENSMUSG00000001260.10","Gabrg1"
"225","ENSMUSG00000001270.9","Ckb"
"226","ENSMUSG00000001280.13","Sp1"
"227","ENSMUSG00000001281.10","Itgb7"
"228","ENSMUSG00000001285.12","Myg1"
"229","ENSMUSG00000001288.15","Rarg"
"230","ENSMUSG00000001289.12","Pfdn5"
"231","ENSMUSG00000001300.16","Efnb2"
"232","ENSMUSG00000001305.5","Rrp15"
"233","ENSMUSG00000001313.12","Rnd2"
"234","ENSMUSG00000001323.17","Srr"
"235","ENSMUSG00000001333.9","Sync"
"236","ENSMUSG00000001334.9","Fndc5"
"237","ENSMUSG00000001348.15","Acp5"
"238","ENSMUSG00000001349.5","Cnn1"
"239","ENSMUSG00000001366.14","Fbxo9"
"240","ENSMUSG00000001376.17","Vps50"
"241","ENSMUSG00000001380.7","Hars"
"242","ENSMUSG00000001383.9","Zmat2"
"243","ENSMUSG00000001403.13","Ube2c"
"244","ENSMUSG00000001415.10","Smg5"
"245","ENSMUSG00000001416.13","Cct3"
"246","ENSMUSG00000001418.13","Glmp"
"247","ENSMUSG00000001419.17","Mef2d"
"248","ENSMUSG00000001420.13","Tmem79"
"249","ENSMUSG00000001424.14","Snd1"
"250","ENSMUSG00000001435.15","Col18a1"
"251","ENSMUSG00000001436.15","Slc19a1"
"252","ENSMUSG00000001440.5","Kpnb1"
"253","ENSMUSG00000001441.13","Npepps"
"254","ENSMUSG00000001444.2","Tbx21"
"255","ENSMUSG00000001445.10","Mrpl10"
"256","ENSMUSG00000001467.5","Cyp51"
"257","ENSMUSG00000001472.17","Tcf25"
"258","ENSMUSG00000001473.7","Tubb6"
"259","ENSMUSG00000001482.15","Def8"
"260","ENSMUSG00000001493.9","Meox1"
"261","ENSMUSG00000001494.6","Sost"
"262","ENSMUSG00000001496.15","Nkx2-1"
"263","ENSMUSG00000001497.18","Pax9"
"264","ENSMUSG00000001504.10","Irx2"
"265","ENSMUSG00000001506.10","Col1a1"
"266","ENSMUSG00000001507.16","Itga3"
"267","ENSMUSG00000001508.15","Sgca"
"268","ENSMUSG00000001510.8","Dlx3"
"269","ENSMUSG00000001517.14","Foxm1"
"270","ENSMUSG00000001518.12","Itfg2"
"271","ENSMUSG00000001520.12","Nrip2"
"272","ENSMUSG00000001521.12","Tulp3"
"273","ENSMUSG00000001524.14","Gtf2h4"
"274","ENSMUSG00000001525.10","Tubb5"
"275","ENSMUSG00000001542.7","Ell2"
"276","ENSMUSG00000001552.14","Jup"
"277","ENSMUSG00000001555.10","Fkbp10"
"278","ENSMUSG00000001558.5","Klhl10"
"279","ENSMUSG00000001566.9","Mnx1"
"280","ENSMUSG00000001569.10","Nom1"
"281","ENSMUSG00000001576.15","Ergic1"
"282","ENSMUSG00000001583.13","Tnk1"
"283","ENSMUSG00000001588.12","Acap1"
"284","ENSMUSG00000001604.14","Tcea3"
"285","ENSMUSG00000001622.15","Csn3"
"286","ENSMUSG00000001627.12","Ifrd1"
"287","ENSMUSG00000001630.13","Stk38l"
"288","ENSMUSG00000001632.16","Brpf1"
"289","ENSMUSG00000001642.18","Akr1b3"
"290","ENSMUSG00000001655.6","Hoxc13"
"291","ENSMUSG00000001656.3","Hoxc11"
