"","gene_id","gene_symbol"
"31313","ENSMUSG00000091022.8","Gm3115"
"31314","ENSMUSG00000091027.1","Gm11107"
"31315","ENSMUSG00000091028.1","Gm10722"
"31316","ENSMUSG00000091031.1","Gm17063"
"31317","ENSMUSG00000091034.8","Gm17660"
"31318","ENSMUSG00000091037.1","Gm17661"
"31319","ENSMUSG00000091039.2","Krtap20-2"
"31320","ENSMUSG00000091040.1","Gm9359"
"31321","ENSMUSG00000091041.1","Gm17720"
"31322","ENSMUSG00000091043.2","Glyatl3"
"31323","ENSMUSG00000091045.9","Vmn2r55"
"31324","ENSMUSG00000091048.1","Gm8207"
"31325","ENSMUSG00000091049.8","Gm1979"
"31326","ENSMUSG00000091050.1","9330020H09Rik"
"31327","ENSMUSG00000091055.2","Siglec15"
"31328","ENSMUSG00000091058.2","Gm17538"
"31329","ENSMUSG00000091059.2","Vmn2r14"
"31330","ENSMUSG00000091060.2","Myocos"
"31331","ENSMUSG00000091061.1","4930445B16Rik"
"31332","ENSMUSG00000091071.2","1700030C10Rik"
"31333","ENSMUSG00000091076.2","Vmn2r115"
"31334","ENSMUSG00000091077.3","Gm21292"
"31335","ENSMUSG00000091078.1","Gm17218"
"31336","ENSMUSG00000091079.1","Gm17105"
"31337","ENSMUSG00000091080.2","Prr23a1"
"31338","ENSMUSG00000091083.4","Gm4535"
"31339","ENSMUSG00000091086.2","Rpl6l"
"31340","ENSMUSG00000091087.2","Ighv8-14"
"31341","ENSMUSG00000091091.2","Kcnmb3"
"31342","ENSMUSG00000091096.1","Gm17304"
"31343","ENSMUSG00000091099.1","Gm17164"
"31344","ENSMUSG00000091101.2","Gm4302"
"31345","ENSMUSG00000091102.1","5830462I19Rik"
"31346","ENSMUSG00000091105.1","Mrto4-ps2"
"31347","ENSMUSG00000091109.1","Gm17622"
"31348","ENSMUSG00000091110.1","Gm2832"
"31349","ENSMUSG00000091114.1","Gm3138"
"31350","ENSMUSG00000091116.1","Gm7991"
"31351","ENSMUSG00000091117.1","Gm9064"
"31352","ENSMUSG00000091119.2","Ccdc152"
"31353","ENSMUSG00000091122.8","Gm8247"
"31354","ENSMUSG00000091123.1","Gm17181"
"31355","ENSMUSG00000091129.3","Iqcf6"
"31356","ENSMUSG00000091131.1","Gm7945"
"31357","ENSMUSG00000091132.1","Gm17109"
"31358","ENSMUSG00000091133.1","Gm17108"
"31359","ENSMUSG00000091135.1","Lgals1-ps2"
"31360","ENSMUSG00000091140.1","Gm17124"
"31361","ENSMUSG00000091142.1","Gm17175"
"31362","ENSMUSG00000091144.2","Phf11c"
"31363","ENSMUSG00000091146.1","Gm3077"
"31364","ENSMUSG00000091147.1","4921509A06Rik"
"31365","ENSMUSG00000091148.7","Gm3182"
"31366","ENSMUSG00000091149.1","Gm17020"
"31367","ENSMUSG00000091151.2","Vmn1r224"
"31368","ENSMUSG00000091154.2","Proscos"
"31369","ENSMUSG00000091155.1","Serpine3"
"31370","ENSMUSG00000091157.1","Serpina3l-ps"
"31371","ENSMUSG00000091159.1","Gm17545"
"31372","ENSMUSG00000091160.1","Gm17133"
"31373","ENSMUSG00000091163.4","Gm3962"
"31374","ENSMUSG00000091165.1","Gm17036"
"31375","ENSMUSG00000091172.1","Gm17120"
"31376","ENSMUSG00000091174.1","Pate10"
"31377","ENSMUSG00000091175.2","S100a7l2"
"31378","ENSMUSG00000091177.2","Gm15494"
"31379","ENSMUSG00000091183.5","Gm5141"
"31380","ENSMUSG00000091184.1","Gm17059"
"31381","ENSMUSG00000091185.1","Gm3278"
"31382","ENSMUSG00000091189.1","Ear-ps3"
"31383","ENSMUSG00000091191.2","Gm17334"
"31384","ENSMUSG00000091192.1","Sardhos"
"31385","ENSMUSG00000091193.2","Gm17333"
"31386","ENSMUSG00000091194.1","Gm19840"
"31387","ENSMUSG00000091195.1","Gm17332"
"31388","ENSMUSG00000091198.2","Gm5218"
"31389","ENSMUSG00000091199.10","Gm2619"
"31390","ENSMUSG00000091204.8","Gm7271"
"31391","ENSMUSG00000091205.3","Vmn2r71"
"31392","ENSMUSG00000091206.2","Vmn2r91"
"31393","ENSMUSG00000091212.1","Krtap11-1"
"31394","ENSMUSG00000091215.3","Pate1"
"31395","ENSMUSG00000091216.2","Gm17208"
"31396","ENSMUSG00000091221.1","Gm3084"
"31397","ENSMUSG00000091223.2","Gm8775"
"31398","ENSMUSG00000091227.1","Gm3755"
"31399","ENSMUSG00000091228.1","Gm20390"
"31400","ENSMUSG00000091230.1","H1f11-ps"
"31401","ENSMUSG00000091233.3","Gm6434"
"31402","ENSMUSG00000091237.1","Gm17114"
"31403","ENSMUSG00000091238.1","Gm17103"
"31404","ENSMUSG00000091239.2","Vmn2r76"
"31405","ENSMUSG00000091243.2","Vgll3"
"31406","ENSMUSG00000091248.1","Pate8"
"31407","ENSMUSG00000091255.1","Speer4e"
"31408","ENSMUSG00000091259.2","Vmn2r110"
"31409","ENSMUSG00000091260.1","Vmn2r19"
"31410","ENSMUSG00000091264.3","Smim13"
"31411","ENSMUSG00000091268.2","Igkv17-134"
"31412","ENSMUSG00000091269.2","Gm6682"
"31413","ENSMUSG00000091272.2","Gm17641"
"31414","ENSMUSG00000091273.1","Gm6673"
"31415","ENSMUSG00000091275.1","Gm3248"
"31416","ENSMUSG00000091277.2","Gm1818"
"31417","ENSMUSG00000091280.1","Gm17032"
"31418","ENSMUSG00000091281.1","Gm8065"
"31419","ENSMUSG00000091283.1","Gm17234"
"31420","ENSMUSG00000091285.2","Gm17430"
"31421","ENSMUSG00000091286.1","Gm3111"
"31422","ENSMUSG00000091288.1","Gm17075"
"31423","ENSMUSG00000091289.1","Gm17051"
"31424","ENSMUSG00000091290.1","Gm3275"
"31425","ENSMUSG00000091292.1","Gm3104"
"31426","ENSMUSG00000091293.1","Gm6047"
"31427","ENSMUSG00000091296.2","Gm4181"
"31428","ENSMUSG00000091297.2","Gm8439"
"31429","ENSMUSG00000091304.2","Speer6-ps1"
"31430","ENSMUSG00000091305.1","Gm17100"
"31431","ENSMUSG00000091306.2","Gm17606"
"31432","ENSMUSG00000091307.1","Gm8895"
"31433","ENSMUSG00000091311.3","Spata31d1b"
"31434","ENSMUSG00000091312.1","Gm17490"
"31435","ENSMUSG00000091313.1","Fth-ps2"
"31436","ENSMUSG00000091315.1","Gm17214"
"31437","ENSMUSG00000091318.2","Gm5415"
"31438","ENSMUSG00000091325.2","Gm3760"
"31439","ENSMUSG00000091326.1","Traj54"
"31440","ENSMUSG00000091329.2","1700112D23Rik"
"31441","ENSMUSG00000091336.1","Gm17157"
"31442","ENSMUSG00000091337.3","Eid1"
"31443","ENSMUSG00000091345.9","Col6a5"
"31444","ENSMUSG00000091347.2","Gm10772"
"31445","ENSMUSG00000091350.2","Vmn2r92"
"31446","ENSMUSG00000091351.1","Gm17135"
"31447","ENSMUSG00000091355.1","Gm17142"
"31448","ENSMUSG00000091358.2","Speer5-ps1"
"31449","ENSMUSG00000091361.2","Gm5277"
"31450","ENSMUSG00000091363.1","Gm7701"
"31451","ENSMUSG00000091366.1","Gm17040"
"31452","ENSMUSG00000091367.1","Gm17711"
"31453","ENSMUSG00000091368.1","Gm17085"
"31454","ENSMUSG00000091370.1","5730435O14Rik"
"31455","ENSMUSG00000091373.4","Gm8810"
"31456","ENSMUSG00000091375.2","Vmn2r15"
"31457","ENSMUSG00000091376.1","Aadacl2"
"31458","ENSMUSG00000091378.1","Gm4219"
"31459","ENSMUSG00000091381.3","Vmn2r83"
"31460","ENSMUSG00000091382.2","Vmn1r18"
"31461","ENSMUSG00000091383.2","Hist1h2al"
"31462","ENSMUSG00000091386.2","Olfr443-ps1"
"31463","ENSMUSG00000091387.2","Gcnt4"
"31464","ENSMUSG00000091390.1","Gm17168"
"31465","ENSMUSG00000091393.1","5330438I03Rik"
"31466","ENSMUSG00000091396.2","Spanxn4"
"31467","ENSMUSG00000091400.1","Gm6356"
"31468","ENSMUSG00000091401.1","Gm9252"
"31469","ENSMUSG00000091402.7","Rd3l"
"31470","ENSMUSG00000091404.1","Gm3140"
"31471","ENSMUSG00000091405.2","H4c14"
"31472","ENSMUSG00000091407.2","Vmn2r117"
"31473","ENSMUSG00000091408.3","Gm6728"
"31474","ENSMUSG00000091410.1","Gm17150"
"31475","ENSMUSG00000091411.1","Gm5916"
"31476","ENSMUSG00000091412.1","Gm2895"
"31477","ENSMUSG00000091415.5","Ak9"
"31478","ENSMUSG00000091416.2","Gm6327"
"31479","ENSMUSG00000091418.2","Gm3164"
"31480","ENSMUSG00000091419.2","Gm17450"
"31481","ENSMUSG00000091421.3","Gm4202"
"31482","ENSMUSG00000091422.8","Gm6455"
"31483","ENSMUSG00000091423.2","Gm17509"
"31484","ENSMUSG00000091425.1","Gm17118"
"31485","ENSMUSG00000091426.1","Gm17228"
"31486","ENSMUSG00000091429.1","Gm17093"
"31487","ENSMUSG00000091430.1","Platr19"
"31488","ENSMUSG00000091435.1","Vmn1r115"
"31489","ENSMUSG00000091438.1","Gm17088"
"31490","ENSMUSG00000091441.1","Gm17387"
"31491","ENSMUSG00000091442.1","Gm17031"
"31492","ENSMUSG00000091443.1","Gm17023"
"31493","ENSMUSG00000091449.3","Gm10269"
"31494","ENSMUSG00000091450.2","Vmn2r11"
"31495","ENSMUSG00000091453.2","Gm6541"
"31496","ENSMUSG00000091455.4","Otogl"
"31497","ENSMUSG00000091457.1","Gm17171"
"31498","ENSMUSG00000091459.1","Gm17054"
"31499","ENSMUSG00000091460.2","Gm7808"
"31500","ENSMUSG00000091462.2","Gm17084"
"31501","ENSMUSG00000091466.1","Gm17183"
"31502","ENSMUSG00000091468.3","Vmn2r82"
"31503","ENSMUSG00000091470.1","Gm17159"
"31504","ENSMUSG00000091471.1","Gm20538"
"31505","ENSMUSG00000091472.2","Gm3739"
"31506","ENSMUSG00000091474.2","2610021A01Rik"
"31507","ENSMUSG00000091475.4","Cerox1"
"31508","ENSMUSG00000091476.8","Catspere2"
"31509","ENSMUSG00000091477.1","Gm5799"
"31510","ENSMUSG00000091478.2","Gm10039"
"31511","ENSMUSG00000091479.1","Gm17035"
"31512","ENSMUSG00000091481.1","Gm17154"
"31513","ENSMUSG00000091483.1","Gm8715"
"31514","ENSMUSG00000091486.1","Gm7953"
"31515","ENSMUSG00000091487.1","Gm6586"
"31516","ENSMUSG00000091490.3","Triml2"
"31517","ENSMUSG00000091491.2","Vmn2r97"
"31518","ENSMUSG00000091492.1","Gm17025"
"31519","ENSMUSG00000091494.8","Gm3269"
"31520","ENSMUSG00000091496.1","Gm8398"
"31521","ENSMUSG00000091497.1","Gm44"
"31522","ENSMUSG00000091498.4","Mpc1-ps"
"31523","ENSMUSG00000091504.2","Vmn2r118"
"31524","ENSMUSG00000091507.1","Gm17194"
"31525","ENSMUSG00000091509.7","Gm17066"
"31526","ENSMUSG00000091510.4","Mtag2"
"31527","ENSMUSG00000091511.3","Vmn2r87"
"31528","ENSMUSG00000091512.5","Lamtor3"
"31529","ENSMUSG00000091514.2","Gm17484"
"31530","ENSMUSG00000091515.5","Zfp422-ps"
"31531","ENSMUSG00000091519.1","Skor2"
"31532","ENSMUSG00000091523.1","AU040972"
"31533","ENSMUSG00000091526.2","BB019430"
"31534","ENSMUSG00000091528.9","Vmn2r126"
"31535","ENSMUSG00000091530.2","Cldn20"
"31536","ENSMUSG00000091531.2","Olfr102"
"31537","ENSMUSG00000091534.2","Gm17195"
"31538","ENSMUSG00000091537.2","Tma7"
"31539","ENSMUSG00000091539.2","Vmn1r238"
"31540","ENSMUSG00000091541.2","Vmn1r9"
"31541","ENSMUSG00000091542.1","Gm17167"
"31542","ENSMUSG00000091548.2","Gm17572"
"31543","ENSMUSG00000091549.1","Gm6548"
"31544","ENSMUSG00000091550.1","Gm6811"
"31545","ENSMUSG00000091552.2","Gm8711"
"31546","ENSMUSG00000091553.1","Serpina3e-ps"
"31547","ENSMUSG00000091556.8","Gm14569"
"31548","ENSMUSG00000091557.2","Gm8584"
"31549","ENSMUSG00000091558.1","Gm17227"
"31550","ENSMUSG00000091561.3","Gm6665"
"31551","ENSMUSG00000091563.8","Gm8108"
"31552","ENSMUSG00000091568.8","Gm8206"
"31553","ENSMUSG00000091569.1","Gm8232"
"31554","ENSMUSG00000091570.1","Gm7707"
"31555","ENSMUSG00000091572.9","Vmn2r3"
"31556","ENSMUSG00000091573.1","Serpina3d-ps"
"31557","ENSMUSG00000091575.2","2010016I18Rik"
"31558","ENSMUSG00000091577.2","Gm6211"
"31559","ENSMUSG00000091583.1","Gm17033"
"31560","ENSMUSG00000091584.1","Gm8180"
"31561","ENSMUSG00000091586.2","Cyp4f17"
"31562","ENSMUSG00000091587.1","Gm17191"
"31563","ENSMUSG00000091594.2","Gm17067"
"31564","ENSMUSG00000091595.1","Gm3344"
"31565","ENSMUSG00000091601.3","Olfr93"
"31566","ENSMUSG00000091604.2","Gm17349"
"31567","ENSMUSG00000091605.2","Gm8256"
"31568","ENSMUSG00000091606.2","Ighv2-1"
"31569","ENSMUSG00000091613.1","Gm17046"
"31570","ENSMUSG00000091614.2","Gm17657"
"31571","ENSMUSG00000091615.2","Gm17044"
"31572","ENSMUSG00000091617.8","Gm3752"
"31573","ENSMUSG00000091618.3","H60c"
"31574","ENSMUSG00000091620.3","Vmn2r23"
"31575","ENSMUSG00000091623.2","Gm17092"
"31576","ENSMUSG00000091624.2","Vmn2r9"
"31577","ENSMUSG00000091625.8","Lsm5"
"31578","ENSMUSG00000091627.1","Gm5929"
"31579","ENSMUSG00000091631.2","Vmn2r95"
"31580","ENSMUSG00000091635.2","Vmn2r13"
"31581","ENSMUSG00000091636.2","Akain1"
"31582","ENSMUSG00000091638.2","Vmn1r113"
"31583","ENSMUSG00000091639.2","Gm3756"
"31584","ENSMUSG00000091648.2","C2cd4d"
"31585","ENSMUSG00000091649.3","Phf11b"
"31586","ENSMUSG00000091650.2","Apol11a"
"31587","ENSMUSG00000091651.3","Vmn2r36"
"31588","ENSMUSG00000091652.2","Vmn1r57"
"31589","ENSMUSG00000091655.3","Gm8741"
"31590","ENSMUSG00000091656.2","Vmn2r106"
"31591","ENSMUSG00000091657.1","Gm3072"
"31592","ENSMUSG00000091659.1","Gm17099"
"31593","ENSMUSG00000091661.2","Gm17021"
"31594","ENSMUSG00000091662.9","Vmn1r69"
"31595","ENSMUSG00000091665.1","Gm17101"
"31596","ENSMUSG00000091668.3","Gm8358"
"31597","ENSMUSG00000091669.1","Gm17117"
"31598","ENSMUSG00000091670.3","Vmn2r105"
"31599","ENSMUSG00000091671.1","Trbv10"
"31600","ENSMUSG00000091672.2","Gm17129"
"31601","ENSMUSG00000091676.1","Gm8374"
"31602","ENSMUSG00000091679.9","Vmn2r96"
"31603","ENSMUSG00000091680.3","Klhdc7b"
"31604","ENSMUSG00000091682.2","Trgc3"
"31605","ENSMUSG00000091685.6","Gm17359"
"31606","ENSMUSG00000091686.1","4930471C04Rik"
"31607","ENSMUSG00000091692.2","4930433I11Rik"
"31608","ENSMUSG00000091694.9","Apol11b"
"31609","ENSMUSG00000091695.2","Gm17669"
"31610","ENSMUSG00000091697.2","Eif3s6-ps2"
"31611","ENSMUSG00000091698.8","Gm6526"
"31612","ENSMUSG00000091700.7","Gm7876"
"31613","ENSMUSG00000091703.2","Gm4222"
"31614","ENSMUSG00000091705.8","H2-Q2"
"31615","ENSMUSG00000091707.1","Gm8224"
"31616","ENSMUSG00000091709.1","Gm17189"
"31617","ENSMUSG00000091712.2","Sec14l5"
"31618","ENSMUSG00000091713.1","Gm17126"
"31619","ENSMUSG00000091718.1","Gm16506"
"31620","ENSMUSG00000091721.4","Gimd1"
"31621","ENSMUSG00000091722.2","Siah3"
"31622","ENSMUSG00000091723.2","Gm17366"
"31623","ENSMUSG00000091725.8","Gm8220"
"31624","ENSMUSG00000091730.1","Gm17230"
"31625","ENSMUSG00000091731.1","Gm17542"
"31626","ENSMUSG00000091732.1","Gm17541"
"31627","ENSMUSG00000091733.1","Gm8094"
"31628","ENSMUSG00000091734.2","Vmn1r29"
"31629","ENSMUSG00000091735.2","Gpr62"
"31630","ENSMUSG00000091736.3","Yy2"
"31631","ENSMUSG00000091740.3","Gm7929"
"31632","ENSMUSG00000091741.1","Gm17161"
"31633","ENSMUSG00000091742.2","Gm5093"
"31634","ENSMUSG00000091743.2","Gm5705"
"31635","ENSMUSG00000091745.1","Gm17098"
"31636","ENSMUSG00000091749.7","Tspy-ps"
"31637","ENSMUSG00000091752.2","Gm3208"
"31638","ENSMUSG00000091754.8","Gm3636"
"31639","ENSMUSG00000091756.1","Gm3095"
"31640","ENSMUSG00000091757.1","Gm17064"
"31641","ENSMUSG00000091762.1","Gm3191"
"31642","ENSMUSG00000091764.3","Zfp964"
"31643","ENSMUSG00000091768.1","Gm17617"
"31644","ENSMUSG00000091771.1","Vmn2r103"
"31645","ENSMUSG00000091775.2","Gm16494"
"31646","ENSMUSG00000091776.1","Gm8340"
"31647","ENSMUSG00000091779.8","Gm21293"
"31648","ENSMUSG00000091780.3","Sco2"
"31649","ENSMUSG00000091784.2","Gm17022"
"31650","ENSMUSG00000091785.2","Rpl29-ps5"
"31651","ENSMUSG00000091786.1","Gm8425"
"31652","ENSMUSG00000091788.3","Gm8032"
"31653","ENSMUSG00000091792.1","Gm3573"
"31654","ENSMUSG00000091794.3","Vmn2r18"
"31655","ENSMUSG00000091800.2","Igkv1-115"
"31656","ENSMUSG00000091803.7","Cox16"
"31657","ENSMUSG00000091805.2","Vmn2r108"
"31658","ENSMUSG00000091806.1","Gm5258"
"31659","ENSMUSG00000091808.1","Gm9671"
"31660","ENSMUSG00000091809.4","Olfr721-ps1"
"31661","ENSMUSG00000091811.2","Inafm1"
"31662","ENSMUSG00000091812.1","Ear-ps5"
"31663","ENSMUSG00000091813.4","Ces2h"
"31664","ENSMUSG00000091814.1","Gm8050"
"31665","ENSMUSG00000091815.1","Gm17153"
"31666","ENSMUSG00000091816.1","Gm17141"
"31667","ENSMUSG00000091817.1","Gm17091"
"31668","ENSMUSG00000091818.3","Rpl19-ps4"
"31669","ENSMUSG00000091821.1","Srsx"
"31670","ENSMUSG00000091825.1","Gm5778"
"31671","ENSMUSG00000091827.2","Speer4f2"
"31672","ENSMUSG00000091831.5","Gm4707"
"31673","ENSMUSG00000091832.1","Gm17155"
"31674","ENSMUSG00000091834.2","Gm17177"
"31675","ENSMUSG00000091842.2","Gm16490"
"31676","ENSMUSG00000091844.2","Gm8251"
"31677","ENSMUSG00000091845.1","Rpl36-ps12"
"31678","ENSMUSG00000091847.1","Gm2855"
"31679","ENSMUSG00000091849.7","Gm17188"
"31680","ENSMUSG00000091859.2","Vmn2r100"
"31681","ENSMUSG00000091863.2","Cldn34a"
"31682","ENSMUSG00000091864.1","Gm17102"
"31683","ENSMUSG00000091866.1","Gm6257"
"31684","ENSMUSG00000091867.2","Cyp2a22"
"31685","ENSMUSG00000091873.2","Olfr732"
"31686","ENSMUSG00000091874.2","Vmn1r56"
"31687","ENSMUSG00000091876.1","Gm3851"
"31688","ENSMUSG00000091879.2","Vmn2r17"
"31689","ENSMUSG00000091881.1","Gm17146"
"31690","ENSMUSG00000091882.8","Gm6337"
"31691","ENSMUSG00000091887.1","Gm17053"
"31692","ENSMUSG00000091888.3","Vmn2r80"
"31693","ENSMUSG00000091890.2","A830073O21Rik"
"31694","ENSMUSG00000091894.1","Gm3030"
"31695","ENSMUSG00000091896.8","Ube2d2a"
"31696","ENSMUSG00000091897.1","Gm17019"
"31697","ENSMUSG00000091898.8","Tnnc1"
"31698","ENSMUSG00000091900.3","Gm4353"
"31699","ENSMUSG00000091902.1","Gm6918"
"31700","ENSMUSG00000091903.8","Gm6460"
"31701","ENSMUSG00000091905.3","Dnajb6-ps"
"31702","ENSMUSG00000091906.2","1700099I09Rik"
"31703","ENSMUSG00000091908.7","Gm17231"
"31704","ENSMUSG00000091911.1","Gm9587"
"31705","ENSMUSG00000091922.1","Gm17409"
"31706","ENSMUSG00000091923.8","Gm8267"
"31707","ENSMUSG00000091924.2","Vmn1r185"
"31708","ENSMUSG00000091926.3","Vmn2r62"
"31709","ENSMUSG00000091929.2","Gm8582"
"31710","ENSMUSG00000091930.2","Vmn2r52"
"31711","ENSMUSG00000091931.5","Gon7"
"31712","ENSMUSG00000091933.2","Gm8857"
"31713","ENSMUSG00000091936.1","Gm3053"
"31714","ENSMUSG00000091937.3","Gm3646"
"31715","ENSMUSG00000091938.3","Gm2564"
"31716","ENSMUSG00000091941.1","Gm7399"
"31717","ENSMUSG00000091942.1","Gm17138"
"31718","ENSMUSG00000091945.2","Vmn2r114"
"31719","ENSMUSG00000091947.1","6530401F13Rik"
"31720","ENSMUSG00000091950.3","Olfr421-ps1"
"31721","ENSMUSG00000091952.3","Gm17709"
"31722","ENSMUSG00000091955.2","Gm9844"
"31723","ENSMUSG00000091956.2","C2cd4b"
"31724","ENSMUSG00000091957.3","Rps2-ps10"
"31725","ENSMUSG00000091960.1","Gm17038"
"31726","ENSMUSG00000091961.1","Gm3123"
"31727","ENSMUSG00000091962.3","Vmn2r78"
"31728","ENSMUSG00000091967.5","Vmn2r128"
"31729","ENSMUSG00000091968.1","Gm17115"
"31730","ENSMUSG00000091970.3","Gm4868"
"31731","ENSMUSG00000091971.3","Hspa1a"
"31732","ENSMUSG00000091972.2","Tmem207"
"31733","ENSMUSG00000091983.3","Olfr457"
"31734","ENSMUSG00000091985.1","Gm17354"
"31735","ENSMUSG00000091987.8","Gm10352"
"31736","ENSMUSG00000091989.1","Ndufab1-ps"
"31737","ENSMUSG00000091990.1","Gm9672"
"31738","ENSMUSG00000091993.2","B930036N10Rik"
"31739","ENSMUSG00000091994.2","E130317F20Rik"
"31740","ENSMUSG00000091995.1","Gm3339"
"31741","ENSMUSG00000091996.8","BC049352"
"31742","ENSMUSG00000091997.1","Gm6611"
"31743","ENSMUSG00000091998.2","Gm17072"
"31744","ENSMUSG00000092004.1","Gm17482"
"31745","ENSMUSG00000092006.1","Gm17139"
"31746","ENSMUSG00000092008.2","Cyp2c69"
"31747","ENSMUSG00000092009.1","Myh15"
"31748","ENSMUSG00000092014.1","Gm4468"
"31749","ENSMUSG00000092019.4","Gm4027"
"31750","ENSMUSG00000092021.8","Gbp11"
"31751","ENSMUSG00000092027.1","Gm17062"
"31752","ENSMUSG00000092029.1","Gm9027"
"31753","ENSMUSG00000092031.1","Gm2108"
"31754","ENSMUSG00000092032.2","Vmn2r59"
"31755","ENSMUSG00000092035.8","Peg10"
"31756","ENSMUSG00000092036.2","Gm2244"
"31757","ENSMUSG00000092039.2","Gm5501"
"31758","ENSMUSG00000092040.1","Gm17198"
"31759","ENSMUSG00000092042.1","Gm17163"
"31760","ENSMUSG00000092043.2","Esp6"
"31761","ENSMUSG00000092045.1","Gm17086"
"31762","ENSMUSG00000092047.1","Gm17631"
"31763","ENSMUSG00000092048.3","Vmn2r85"
"31764","ENSMUSG00000092049.9","Vmn2r4"
"31765","ENSMUSG00000092051.2","Gm17229"
"31766","ENSMUSG00000092054.3","Kif4-ps"
"31767","ENSMUSG00000092055.1","Gm7925"
"31768","ENSMUSG00000092056.2","Gm7289"
"31769","ENSMUSG00000092060.4","Bend4"
"31770","ENSMUSG00000092066.1","1700121N20Rik"
"31771","ENSMUSG00000092071.1","A230065N10Rik"
"31772","ENSMUSG00000092072.3","Gm4540"
"31773","ENSMUSG00000092073.8","Gm6205"
"31774","ENSMUSG00000092074.2","Dynlt1a"
"31775","ENSMUSG00000092075.1","Serpina4-ps1"
"31776","ENSMUSG00000092077.2","Olfr101"
"31777","ENSMUSG00000092080.2","Vmn2r16"
"31778","ENSMUSG00000092083.4","Kcnb2"
"31779","ENSMUSG00000092085.1","Gm17224"
"31780","ENSMUSG00000092086.2","Gm6793"
"31781","ENSMUSG00000092090.2","Gm3294"
"31782","ENSMUSG00000092092.1","Gm17215"
"31783","ENSMUSG00000092093.1","Gm17528"
"31784","ENSMUSG00000092094.5","Zfp804b"
"31785","ENSMUSG00000092097.2","Gm5819"
"31786","ENSMUSG00000092103.2","Gm17039"
"31787","ENSMUSG00000092107.1","Ear-ps4"
"31788","ENSMUSG00000092109.2","Gm9376"
"31789","ENSMUSG00000092111.2","Vmn2r113"
"31790","ENSMUSG00000092116.1","Gm10320"
"31791","ENSMUSG00000092118.1","Fancf"
"31792","ENSMUSG00000092120.2","Vmn2r90"
"31793","ENSMUSG00000092123.1","Gm17581"
"31794","ENSMUSG00000092124.1","B930094E09Rik"
"31795","ENSMUSG00000092125.1","AA543401"
"31796","ENSMUSG00000092130.2","D030025P21Rik"
"31797","ENSMUSG00000092131.1","BC050972"
"31798","ENSMUSG00000092134.1","Gm17089"
"31799","ENSMUSG00000092142.1","Gm6482"
"31800","ENSMUSG00000092144.1","Gm3370"
"31801","ENSMUSG00000092147.1","Gm7052"
"31802","ENSMUSG00000092148.1","Gm8005"
"31803","ENSMUSG00000092152.1","Gm17026"
"31804","ENSMUSG00000092157.1","Gm17268"
"31805","ENSMUSG00000092162.3","Vmn2r86"
"31806","ENSMUSG00000092164.2","Rergl"
"31807","ENSMUSG00000092165.9","Gm5624"
"31808","ENSMUSG00000092166.2","Gm7942"
"31809","ENSMUSG00000092167.8","Gm3696"
"31810","ENSMUSG00000092168.1","Gm9075"
"31811","ENSMUSG00000092171.1","4833427F10Rik"
"31812","ENSMUSG00000092172.1","Gm20523"
"31813","ENSMUSG00000092173.1","Vmn2r-ps38"
"31814","ENSMUSG00000092175.1","Gm3584"
"31815","ENSMUSG00000092176.1","Gm20460"
"31816","ENSMUSG00000092178.2","Gm45351"
"31817","ENSMUSG00000092179.2","Vmn2r-ps75"
"31818","ENSMUSG00000092181.1","Gm20432"
"31819","ENSMUSG00000092182.1","Gm20407"
"31820","ENSMUSG00000092183.1","4930515G01Rik"
"31821","ENSMUSG00000092184.1","Gm18489"
"31822","ENSMUSG00000092185.1","Gm20416"
"31823","ENSMUSG00000092186.1","Gm5967"
"31824","ENSMUSG00000092187.1","Gm20457"
"31825","ENSMUSG00000092188.1","Gm20471"
"31826","ENSMUSG00000092190.1","Gm20470"
"31827","ENSMUSG00000092191.1","Gm7211"
"31828","ENSMUSG00000092192.7","Dnaaf4"
"31829","ENSMUSG00000092193.1","Cd9-ps"
"31830","ENSMUSG00000092195.2","Vmn2r-ps87"
"31831","ENSMUSG00000092196.2","Gm38505"
"31832","ENSMUSG00000092197.1","Gm20480"
"31833","ENSMUSG00000092199.1","Gm18358"
"31834","ENSMUSG00000092200.2","Tnxa"
"31835","ENSMUSG00000092201.7","A530058N18Rik"
"31836","ENSMUSG00000092202.1","Stk19-ps1"
"31837","ENSMUSG00000092203.7","1110038B12Rik"
"31838","ENSMUSG00000092204.1","Vmn2r-ps49"
"31839","ENSMUSG00000092208.1","Vmn1r-ps58"
"31840","ENSMUSG00000092210.1","A930009A15Rik"
"31841","ENSMUSG00000092211.1","Vmn2r-ps67"
"31842","ENSMUSG00000092212.3","Slc22a13b"
"31843","ENSMUSG00000092213.1","Gm18522"
"31844","ENSMUSG00000092214.1","Gm18560"
"31845","ENSMUSG00000092216.3","Gm19345"
"31846","ENSMUSG00000092217.2","Vmn2r-ps62"
"31847","ENSMUSG00000092218.1","Gm20529"
"31848","ENSMUSG00000092219.1","Gm20443"
"31849","ENSMUSG00000092220.1","Gm20528"
"31850","ENSMUSG00000092221.1","Gm7230"
"31851","ENSMUSG00000092223.1","Gm19807"
"31852","ENSMUSG00000092224.2","Gm8815"
"31853","ENSMUSG00000092225.1","Gm2381"
"31854","ENSMUSG00000092227.1","Gm7651"
"31855","ENSMUSG00000092228.1","Vmn1r-ps28"
"31856","ENSMUSG00000092229.3","Gm5977"
"31857","ENSMUSG00000092230.1","Gm18889"
